Number_of_samples,Number_of_SGBs, taxo
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
100,4088,All_SGBs
100,4041,All_SGBs
100,4508,All_SGBs
100,4343,All_SGBs
100,4281,All_SGBs
100,4230,All_SGBs
100,4457,All_SGBs
100,4311,All_SGBs
100,4317,All_SGBs
100,4382,All_SGBs
200,6660,All_SGBs
200,6297,All_SGBs
200,6241,All_SGBs
200,6387,All_SGBs
200,6546,All_SGBs
200,6212,All_SGBs
200,6428,All_SGBs
200,6593,All_SGBs
200,6174,All_SGBs
200,6376,All_SGBs
300,7871,All_SGBs
300,7737,All_SGBs
300,8147,All_SGBs
300,8088,All_SGBs
300,8079,All_SGBs
300,8202,All_SGBs
300,7720,All_SGBs
300,7893,All_SGBs
300,7843,All_SGBs
300,8102,All_SGBs
400,9007,All_SGBs
400,9356,All_SGBs
400,9374,All_SGBs
400,8981,All_SGBs
400,9200,All_SGBs
400,9080,All_SGBs
400,9157,All_SGBs
400,9290,All_SGBs
400,9057,All_SGBs
400,9243,All_SGBs
500,9988,All_SGBs
500,9991,All_SGBs
500,9968,All_SGBs
500,9703,All_SGBs
500,9987,All_SGBs
500,9810,All_SGBs
500,10030,All_SGBs
500,10092,All_SGBs
500,10024,All_SGBs
500,9926,All_SGBs
600,10911,All_SGBs
600,10732,All_SGBs
600,10745,All_SGBs
600,10455,All_SGBs
600,10826,All_SGBs
600,10867,All_SGBs
600,10852,All_SGBs
600,10775,All_SGBs
600,10857,All_SGBs
600,10914,All_SGBs
700,11142,All_SGBs
700,11371,All_SGBs
700,11690,All_SGBs
700,11385,All_SGBs
700,11462,All_SGBs
700,11315,All_SGBs
700,11513,All_SGBs
700,11500,All_SGBs
700,11478,All_SGBs
700,11446,All_SGBs
800,11920,All_SGBs
800,11933,All_SGBs
800,11804,All_SGBs
800,11944,All_SGBs
800,12034,All_SGBs
800,11932,All_SGBs
800,12122,All_SGBs
800,11821,All_SGBs
800,11861,All_SGBs
800,12096,All_SGBs
900,12432,All_SGBs
900,12502,All_SGBs
900,12432,All_SGBs
900,12352,All_SGBs
900,12232,All_SGBs
900,12508,All_SGBs
900,12524,All_SGBs
900,12299,All_SGBs
900,12529,All_SGBs
900,12335,All_SGBs
1000,12880,All_SGBs
1000,12808,All_SGBs
1000,12891,All_SGBs
1000,12887,All_SGBs
1000,12877,All_SGBs
1000,12950,All_SGBs
1000,12929,All_SGBs
1000,12816,All_SGBs
1000,12941,All_SGBs
1000,12844,All_SGBs
1100,13145,All_SGBs
1100,13255,All_SGBs
1100,13253,All_SGBs
1100,13127,All_SGBs
1100,13186,All_SGBs
1100,13224,All_SGBs
1100,13204,All_SGBs
1100,13245,All_SGBs
1100,13240,All_SGBs
1100,13267,All_SGBs
1200,13612,All_SGBs
1200,13568,All_SGBs
1200,13517,All_SGBs
1200,13559,All_SGBs
1200,13508,All_SGBs
1200,13456,All_SGBs
1200,13510,All_SGBs
1200,13536,All_SGBs
1200,13445,All_SGBs
1200,13560,All_SGBs
1300,13848,All_SGBs
1300,13833,All_SGBs
1300,13762,All_SGBs
1300,13852,All_SGBs
1300,13785,All_SGBs
1300,13849,All_SGBs
1300,13779,All_SGBs
1300,13846,All_SGBs
1300,13761,All_SGBs
1300,13806,All_SGBs
1400,14047,All_SGBs
1400,14039,All_SGBs
1400,14032,All_SGBs
1400,14049,All_SGBs
1400,14033,All_SGBs
1400,14046,All_SGBs
1400,14029,All_SGBs
1400,14040,All_SGBs
1400,14024,All_SGBs
1400,14007,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs
1412,14062,All_SGBs