Rank	Taxon	Counts
Kingdom	d__Archaea	183
Phylum	p__Halobacteriota	14
Phylum	p__Methanobacteriota	138
Phylum	p__Thermoplasmatota	31
Class	c__Methanosarcinia	1
Class	c__Methanomicrobia	13
Class	c__Thermoplasmata	31
Class	c__Methanobacteria	138
Order	o__Methanosarcinales	1
Order	o__Methanomassiliicoccales	31
Order	o__Methanomicrobiales	13
Order	o__Methanobacteriales	138
Family	f__Methanocorpusculaceae	13
Family	f__Methanobacteriaceae	138
Family	f__Methanomethylophilaceae	31
Family	f__Methanosarcinaceae	1
Genus	g__Methanosphaera	15
Genus	g__UBA71	6
Genus	g__SIG5	12
Genus	g__Methanimicrococcus	1
Genus	g__Methanobrevibacter	13
Genus	g__Methanomethylophilus	6
Genus	g__MX-02	3
Genus	g__	12
Genus	g__Methanocorpusculum	13
Genus	g__Methanobrevibacter_A	101
Genus	g__Methanobrevibacter_B	1
Species	s__SIG5 sp015063195	1
Species	s__Methanobrevibacter_A millerae	1
Species	s__Methanocorpusculum sp017408885	1
Species	s__Methanobrevibacter_A sp904501935	1
Species	s__Methanobrevibacter_B sp900314605	1
Species	s__Methanobrevibacter_A sp017434525	1
Species	s__Methanobrevibacter_A gottschalkii	1
Species	s__UBA71 sp017935945	1
Species	s__Methanobrevibacter_A sp900314695	1
Species	s__Methanocorpusculum sp017555685	1
Species	s__Methanosphaera sp017430835	1
Species	s__Methanobrevibacter_A sp017431965	1
Species	s__Methanosphaera sp003266065	1
Species	s__Methanosphaera sp003266075	1
Species	s__Methanosphaera sp016282985	1
Species	s__Methanobrevibacter sp900314635	1
Species	s__Methanobrevibacter_A sp902785855	1
Species	s__Methanobrevibacter_A sp902764455	1
Species	s__Methanobrevibacter_A sp902777885	1
Species	s__Methanobrevibacter_A sp900319535	1
Species	s__SIG5 sp017508065	1
Species	s__Methanobrevibacter_A thaueri_B	1
Species	s__Methanobrevibacter_A millerae_A	1
Species	s__Methanocorpusculum sp017387505	1
Species	s__Methanobrevibacter_A millerae_B	1
Species	s__Methanocorpusculum sp018065685	1
Species	s__Methanobrevibacter_A sp902774605	1
Species	s__Methanobrevibacter_A sp900314615	1
Species	s__Methanocorpusculum sp017399555	1
Species	s__	150
Species	s__SIG5 sp015063185	1
Species	s__Methanosphaera sp017652595	1
Species	s__Methanobrevibacter_A sp900320515	1
Species	s__Methanobrevibacter_A thaueri	1