Rank	Taxon	Counts			
Kingdom	d__Bacteria	19068			
Phylum	p__Actinobacteriota	87			
Phylum	p__Eremiobacterota	2			
Phylum	p__Riflebacteria	4			
Phylum	p__Bacteroidota	2592			
Phylum	p__Campylobacterota	4			
Phylum	p__Cyanobacteria	172			
Phylum	p__UBA3054	1			
Phylum	p__Fibrobacterota	42			
Phylum	p__Deferribacterota	2			
Phylum	p__Proteobacteria	539			
Phylum	p__Chloroflexota	2			
Phylum	p__Chlamydiota	2			
Phylum	p__Desulfobacterota_I	22			
Phylum	p__Spirochaetota	245			
Phylum	p__Elusimicrobiota	95			
Phylum	p__Firmicutes	769			
Phylum	p__Firmicutes_A	13509			
Phylum	p__Armatimonadota	3			
Phylum	p__Firmicutes_B	37			
Phylum	p__Firmicutes_C	52			
Phylum	p__Planctomycetota	39			
Phylum	p__Patescibacteria	310			
Phylum	p__Desulfobacterota	2			
Phylum	p__Synergistota	10			
Phylum	p__Myxococcota	21			
Phylum	p__Verrucomicrobiota	505			
Class	c__Kiritimatiellae	150			
Class	c__Alphaproteobacteria	497			
Class	c__Coriobacteriia	61			
Class	c__Dehalobacteriia	10			
Class	c__Gammaproteobacteria	42			
Class	c__Verrucomicrobiae	176			
Class	c__Bacilli	769			
Class	c__Xenobia	2			
Class	c__Negativicutes	52			
Class	c__XYA12-FULL-58-9	2			
Class	c__Actinomycetia	26			
Class	c__Desulfarculia	1			
Class	c__Bradymonadia	17			
Class	c__Desulfobulbia	1			
Class	c__Microgenomatia	2			
Class	c__Lentisphaeria	179			
Class	c__Deferribacteres	2			
Class	c__UBA4802	1			
Class	c__UBA5829	3			
Class	c__Thermincolia	1			
Class	c__Planctomycetia	39			
Class	c__GWE2-31-10	3			
Class	c__Anaerolineae	2			
Class	c__UBA3054	1			
Class	c__JAEDAM01	5			
Class	c__Chlamydiia	2			
Class	c__Syntrophomonadia	2			
Class	c__Endomicrobia	3			
Class	c__Bacteroidia	2592			
Class	c__Elusimicrobia	92			
Class	c__Peptococcia	22			
Class	c__Desulfotomaculia	2			
Class	c__Synergistia	10			
Class	c__Desulfovibrionia	22			
Class	c__Vampirovibrionia	172			
Class	c__Myxococcia	2			
Class	c__Spirochaetia	241			
Class	c__Saccharimonadia	303			
Class	c__Ozemobacteria	4			
Class	c__Campylobacteria	4			
Class	c__Clostridia	13509			
Class	c__Fibrobacteria	42			
Order	o__DRI-13	1			
Order	o__UBA7976	1			
Order	o__UBA1212	53			
Order	o__RF32	221			
Order	o__Myxococcales	2			
Order	o__RGIG982	5			
Order	o__Pseudomonadales	16			
Order	o__UBA3830	7			
Order	o__Actinomycetales	24			
Order	o__RF39	260			
Order	o__UMGS1840	67			
Order	o__Deferribacterales	2			
Order	o__CADAEX01	5			
Order	o__Victivallales	172			
Order	o__Rickettsiales	1			
Order	o__UBA4248	16			
Order	o__Fibrobacterales	42			
Order	o__RFP12	149			
Order	o__Saccharimonadales	303			
Order	o__UMGS1883	213			
Order	o__Desulfovibrionales	22			
Order	o__Chlamydiales	2			
Order	o__UBA9339	1			
Order	o__Pirellulales	39			
Order	o__RFN20	116			
Order	o__Adiutricales	1			
Order	o__Elusimicrobiales	92			
Order	o__Selenomonadales	18			
Order	o__RUG12999	41			
Order	o__Propionibacteriales	1			
Order	o__Peptostreptococcales	204			
Order	o__	5			
Order	o__Rs-D84	259			
Order	o__Mycobacteriales	1			
Order	o__Clostridiales	9			
Order	o__Mycoplasmatales	25			
Order	o__Verrucomicrobiales	146			
Order	o__UBA3054	1			
Order	o__Bacillales_A	38			
Order	o__UBA4802	1			
Order	o__Bacillales_B	17			
Order	o__UBA5829	3			
Order	o__Paenibacillales	3			
Order	o__Caedimonadales	1			
Order	o__Peptococcales	21			
Order	o__Acidaminococcales	28			
Order	o__Sphingomonadales	2			
Order	o__HGM11514	22			
Order	o__RGIG8785	3			
Order	o__Desulfotomaculales	2			
Order	o__Synergistales	10			
Order	o__Enterobacterales	13			
Order	o__LD1-PB3	1			
Order	o__Acetobacterales	2			
Order	o__Treponematales	227			
Order	o__Sphingobacteriales	13			
Order	o__UMGS1810	190			
Order	o__ML615J-28	118			
Order	o__Lachnospirales	1681			
Order	o__HGM11327	8			
Order	o__Xenobiales	2			
Order	o__Christensenellales	1621			
Order	o__GWE2-31-10	3			
Order	o__TANB77	133			
Order	o__Lactobacillales	11			
Order	o__Oscillospirales	8408			
Order	o__Gastranaerophilales	172			
Order	o__Bacteroidales	2568			
Order	o__Campylobacterales	4			
Order	o__Flavobacteriales	10			
Order	o__Erysipelotrichales	143			
Order	o__Burkholderiales	12			
Order	o__Veillonellales	1			
Order	o__RGIG6154	60			
Order	o__Chitinophagales	1			
Order	o__Endomicrobiales	3			
Order	o__Acholeplasmatales	37			
Order	o__Absconditabacterales	5			
Order	o__Monoglobales	275			
Order	o__Opitutales	29			
Order	o__Anaerolineales	2			
Order	o__UBA4068	6			
Order	o__Coriobacteriales	61			
Order	o__Ozemobacterales	4			
Order	o__UBA7702	4			
Order	o__Rhodobacterales	1			
Order	o__Izemoplasmatales	1			
Order	o__Syntrophomonadales	2			
Order	o__Pedosphaerales	1			
Order	o__UBA1400	2			
Order	o__JAEEML01	2			
Order	o__UBA1381	443			
Order	o__RUG11792	3			
Order	o__Desulfobulbales	1			
Order	o__Sphaerochaetales	9			
Order	o__UBA1407	7			
Order	o__Saccharofermentanales	63			
Order	o__Eubacteriales	11			
Family	f__Lactobacillaceae	4			
Family	f__Victivallaceae	142			
Family	f__CADBOM01	1			
Family	f__Syntrophomonadaceae	2			
Family	f__UBA1407	7			
Family	f__GWE2-31-10	3			
Family	f__Anaeroplasmataceae	37			
Family	f__CAG-826	71			
Family	f__Anaerofustaceae	11			
Family	f__UBA1212	12			
Family	f__CAG-138	49			
Family	f__Muribaculaceae	85			
Family	f__DUVY01	1			
Family	f__Christensenellaceae	7			
Family	f__RGIG982	5			
Family	f__UBA11471	1			
Family	f__Acidaminococcaceae	28			
Family	f__UBA4181	1			
Family	f__CAG-382	396			
Family	f__Borkfalkiaceae	877			
Family	f__CAG-1252	2			
Family	f__CAG-631	14			
Family	f__Thermoguttaceae	39			
Family	f__W3P20-009	16			
Family	f__PJMF01	2			
Family	f__RGIG6154	60			
Family	f__UBA1234	9			
Family	f__Akkermansiaceae	146			
Family	f__Ozemobacteraceae	4			
Family	f__UBA9506	175			
Family	f__JAAYLN01	3			
Family	f__F082	93			
Family	f__Atopobiaceae	14			
Family	f__MARSEILLE-P3954	2			
Family	f__UBA644	67			
Family	f__UBA1715	11			
Family	f__QAMH01	2			
Family	f__WCHB1-69	40			
Family	f__UBA1255	29			
Family	f__Firm-18	43			
Family	f__UBA660	260			
Family	f__UBA1257	1			
Family	f__Tannerellaceae	3			
Family	f__UBA3830	7			
Family	f__SIG427	3			
Family	f__Succinivibrionaceae	9			
Family	f__Peptococcaceae	21			
Family	f__Rikenellaceae	446			
Family	f__UBA5745	1			
Family	f__Barnesiellaceae	17			
Family	f__Crocinitomicaceae	1			
Family	f__RUG350	24			
Family	f__CAG-449	11			
Family	f__UBA1750	5			
Family	f__UBA4248	16			
Family	f__HGM11501	13			
Family	f__UBA5550	1			
Family	f__Gastranaerophilaceae	149			
Family	f__CAG-465	31			
Family	f__Sphingobacteriaceae	12			
Family	f__JAEEML01	2			
Family	f__CAG-239	132			
Family	f__ML635J-15	2			
Family	f__UBA1067	136			
Family	f__UBA932	676			
Family	f__Weeksellaceae	1			
Family	f__RUG11792	3			
Family	f__HGM11507	43			
Family	f__UBA9339	1			
Family	f__Pseudomonadaceae	3			
Family	f__BX7	8			
Family	f__CAG-698	36			
Family	f__P3	88			
Family	f__Anaerotignaceae	16			
Family	f__Planococcaceae	38			
Family	f__	348			
Family	f__Bacteroidaceae	691			
Family	f__UBA1547	1			
Family	f__Synergistaceae	10			
Family	f__Burkholderiaceae	11			
Family	f__CAG-272	2581			
Family	f__Rhodocyclaceae	1			
Family	f__UBA953	9			
Family	f__CAG-508	88			
Family	f__Mucispirillaceae	2			
Family	f__Marinifilaceae	11			
Family	f__UBA3663	63			
Family	f__UMGS1783	25			
Family	f__RGIG7773	1			
Family	f__Enterobacteriaceae	2			
Family	f__Microbacteriaceae	8			
Family	f__CAG-312	12			
Family	f__CACZYB01	4			
Family	f__Oscillospiraceae	1883			
Family	f__CAG-313	82			
Family	f__Acutalibacteraceae	2448			
Family	f__Adiutricaceae	1			
Family	f__CAG-314	25			
Family	f__UBA5829	3			
Family	f__Elusimicrobiaceae	92			
Family	f__Nocardioidaceae	1			
Family	f__SZUA-534	4			
Family	f__Desulfobulbaceae	1			
Family	f__Selenomonadaceae	18			
Family	f__Eggerthellaceae	43			
Family	f__Campylobacteraceae	3			
Family	f__Clostridiaceae	9			
Family	f__UMGS1840	24			
Family	f__RUG14156	19			
Family	f__JAAYXM01	105			
Family	f__X112	5			
Family	f__UBA1390	22			
Family	f__Lachnospiraceae	1629			
Family	f__Rs-D84	254			
Family	f__UBA1412	1			
Family	f__Saccharofermentanaceae	63			
Family	f__Saccharimonadaceae	1			
Family	f__Streptococcaceae	1			
Family	f__Lenti-01	1			
Family	f__SIG350	1			
Family	f__UBA3054	1			
Family	f__RGIG7378	5			
Family	f__CADAEX01	5			
Family	f__UBA1188	1			
Family	f__Fibrobacteraceae	42			
Family	f__Desulfocucumaceae	2			
Family	f__Nanosyncoccaceae	300			
Family	f__RGIG5299	4			
Family	f__UMGS1883	130			
Family	f__QALW01	55			
Family	f__Sphingomonadaceae	2			
Family	f__UMGS416	4			
Family	f__Cellulomonadaceae	2			
Family	f__Anaerolineaceae	2			
Family	f__Desulfovibrionaceae	22			
Family	f__UBA1242	273			
Family	f__Flavobacteriaceae	4			
Family	f__Shewanellaceae	1			
Family	f__Mycobacteriaceae	1			
Family	f__Helicobacteraceae	1			
Family	f__RGIG9151	4			
Family	f__Butyricicoccaceae	55			
Family	f__Metamycoplasmataceae	2			
Family	f__Acetobacteraceae	2			
Family	f__MGBC116941	1			
Family	f__UBA1709	8			
Family	f__CAG-74	221			
Family	f__RUG12999	41			
Family	f__UMGS1253	29			
Family	f__Paludibacteraceae	277			
Family	f__RGIG8785	3			
Family	f__QAKW01	94			
Family	f__Chitinophagaceae	1			
Family	f__JAGOMX01	1			
Family	f__UBA3824	10			
Family	f__QAMX01	17			
Family	f__DUOF01	12			
Family	f__Sphaerochaetaceae	9			
Family	f__Carnobacteriaceae	3			
Family	f__Chlamydiaceae	2			
Family	f__Endomicrobiaceae	3			
Family	f__Bifidobacteriaceae	6			
Family	f__UBA5755	6			
Family	f__CAG-917	18			
Family	f__Monoglobaceae	232			
Family	f__Rhodobacteraceae	1			
Family	f__Ruminococcaceae	423			
Family	f__UBA1532	1			
Family	f__Micrococcaceae	8			
Family	f__Paenibacillaceae	3			
Family	f__UBA5297	1			
Family	f__Enterococcaceae	3			
Family	f__UBA9783	6			
Family	f__Erysipelotrichaceae	134			
Family	f__DSM-1321	15			
Family	f__Nanoperiomorbaceae	1			
Family	f__BM520	1			
Family	f__DTU072	17			
Family	f__UMGS1540	66			
Family	f__HGM11514	22			
Family	f__UBA3636	4			
Family	f__Xenobiaceae	2			
Family	f__UBA3637	83			
Family	f__JAAYOS01	1			
Family	f__Coprobacillaceae	9			
Family	f__MB2-83	1			
Family	f__Treponemataceae	227			
Family	f__UBA1997	1			
Family	f__Anaerovoracaceae	204			
Family	f__UMGS1810	190			
Family	f__Myxococcaceae	1			
Family	f__UBA1820	4			
Family	f__UBA7702	4			
Family	f__G3-4614	15			
Family	f__Moraxellaceae	13			
Family	f__SIG530	1			
Family	f__RGIG8002	2			
Family	f__HGM11327	8			
Family	f__CAG-977	6			
Family	f__Aeromonadaceae	1			
Family	f__SIG519	1			
Family	f__CAG-552	37			
Family	f__Dialisteraceae	1			
Family	f__Cellulosilyticaceae	4			
Family	f__Mycoplasmoidaceae	23			
Family	f__UBA1381	239			
Family	f__UBA1829	30			
Family	f__DSM-18226	2			
Family	f__UBA1402	4			
Genus	g__HGM13222	6			
Genus	g__QHMH01	1			
Genus	g__Odoribacter	5			
Genus	g__Sphingobacterium	4			
Genus	g__RGIG9126	10			
Genus	g__MGBC116941	1			
Genus	g__RGIG2206	15			
Genus	g__CAG-590	25			
Genus	g__CAG-510	7			
Genus	g__CAG-826	2			
Genus	g__CAG-552	2			
Genus	g__Anaerosporobacter	1			
Genus	g__JAEEJN01	1			
Genus	g__ISDg	12			
Genus	g__CAG-557	6			
Genus	g__UBA8612	49			
Genus	g__UBA1731	15			
Genus	g__UBA1774	4			
Genus	g__RGIG3513	8			
Genus	g__UBA1775	35			
Genus	g__HGM11616	3			
Genus	g__UBA1776	7			
Genus	g__UBA4345	1			
Genus	g__UBA1737	19			
Genus	g__UBA1738	53			
Genus	g__UBA1425	4			
Genus	g__Chryseobacterium	1			
Genus	g__Heteroclostridium	4			
Genus	g__UBA1195	3			
Genus	g__RUG592	1			
Genus	g__Flavobacterium	4			
Genus	g__Chlamydia	1			
Genus	g__CAG-127	44			
Genus	g__SFHK01	11			
Genus	g__HGM12650	1			
Genus	g__RGIG1943	3			
Genus	g__UBA2730	2			
Genus	g__JAGCJX01	3			
Genus	g__RGIG1902	5			
Genus	g__RGIG446	4			
Genus	g__CAJOIG01	9			
Genus	g__Adiutrix	1			
Genus	g__RGIG1987	1			
Genus	g__RGIG1988	40			
Genus	g__RGIG8597	3			
Genus	g__Egerieisoma	14			
Genus	g__RGIG4284	2			
Genus	g__Blautia_A	3			
Genus	g__RGIG8244	6			
Genus	g__HGM12619	24			
Genus	g__NK4A144	1			
Genus	g__Gallimonas	2			
Genus	g__Paratractidigestivibacter	1			
Genus	g__Desulfobulbus	1			
Genus	g__UMGS882	9			
Genus	g__RGIG1017	1			
Genus	g__SIG230	1			
Genus	g__SIG587	20			
Genus	g__SIG588	15			
Genus	g__SIG274	4			
Genus	g__SIG589	25			
Genus	g__Faecalimonas	143			
Genus	g__KLE1615	1			
Genus	g__Streptococcus	1			
Genus	g__14-2	11			
Genus	g__RGIG6904	8			
Genus	g__RGIG2945	10			
Genus	g__UBA3774	9			
Genus	g__RUG13409	17			
Genus	g__RGIG9201	1			
Genus	g__HGM13618	1			
Genus	g__UBA3738	1			
Genus	g__1XD8-76	1			
Genus	g__UMGS1649	26			
Genus	g__RGIG6639	2			
Genus	g__UMGS1338	2			
Genus	g__JAFSXO01	2			
Genus	g__Butyribacter	1			
Genus	g__Enterocloster	1			
Genus	g__RGIG2094	23			
Genus	g__F23-B02	23			
Genus	g__RGIG6097	1			
Genus	g__RGIG6098	2			
Genus	g__CAG-632	3			
Genus	g__Pradoshia	5			
Genus	g__QANG01	6			
Genus	g__RGIG3947	5			
Genus	g__FD2005	1			
Genus	g__RGIG7949	2			
Genus	g__RUG14179	7			
Genus	g__Pseudomonas_A	1			
Genus	g__RGIG3636	1			
Genus	g__UBA737	390			
Genus	g__Saccharofermentans	57			
Genus	g__Fimiplasma	2			
Genus	g__UBA738	3			
Genus	g__Pseudomonas_E	2			
Genus	g__RGIG3091	2			
Genus	g__UBA1231	17			
Genus	g__RGIG3013	3			
Genus	g__UBA1234	3			
Genus	g__Nocardioides	1			
Genus	g__SFHR01	1			
Genus	g__RGIG3096	4			
Genus	g__RUG12871	5			
Genus	g__UMGS2069	6			
Genus	g__Dorea	4			
Genus	g__UBA1238	1			
Genus	g__Faecisoma	1			
Genus	g__Merdousia	11			
Genus	g__RUG11797	3			
Genus	g__CAG-1000	13			
Genus	g__GCA-900199385	16			
Genus	g__RUG11130	39			
Genus	g__Egerieousia	67			
Genus	g__Alistipes	372			
Genus	g__RGIG250	3			
Genus	g__RGIG1752	2			
Genus	g__Anaerotignum	12			
Genus	g__RGIG1711	18			
Genus	g__RUG369	23			
Genus	g__UBA2813	6			
Genus	g__RUG11139	4			
Genus	g__Onthomorpha	17			
Genus	g__UBA11540	18			
Genus	g__MGBC143606	5			
Genus	g__Fimisoma	11			
Genus	g__Acetatifactor	180			
Genus	g__UBA6857	177			
Genus	g__Taishania	1			
Genus	g__RUG099	59			
Genus	g__RGIG8050	15			
Genus	g__RGIG8367	2			
Genus	g__Novosphingobium	1			
Genus	g__Onthomonas	4			
Genus	g__V9D3004	1			
Genus	g__UBA11549	1			
Genus	g__Rhodococcus	1			
Genus	g__RGIG4097	17			
Genus	g__SIG622	17			
Genus	g__SIG350	1			
Genus	g__SIG351	6			
Genus	g__SIG627	6			
Genus	g__SIG354	2			
Genus	g__Bulleidia	28			
Genus	g__2011-GWC2-44-17	1			
Genus	g__RGIG9670	6			
Genus	g__Lachnospira	6			
Genus	g__UMGS1491	6			
Genus	g__UBA3855	30			
Genus	g__Duodenibacillus	1			
Genus	g__UMGS1494	7			
Genus	g__RGIG5050	2			
Genus	g__Butyricicoccus	1			
Genus	g__RGIG5327	3			
Genus	g__Caccosoma	1			
Genus	g__RGIG9096	6			
Genus	g__RGIG6449	1			
Genus	g__RGIG2134	8			
Genus	g__CAG-791	11			
Genus	g__RUG14871	3			
Genus	g__SZUA-448	19			
Genus	g__Copromonas	19			
Genus	g__RGIG9099	11			
Genus	g__Paenibacillus	3			
Genus	g__CAG-710	1			
Genus	g__CAG-793	1			
Genus	g__RGIG6178	10			
Genus	g__UMGS1109	2			
Genus	g__Slackia_A	1			
Genus	g__Negativibacillus	9			
Genus	g__CAG-485	7			
Genus	g__XBB1006	3			
Genus	g__CAG-488	52			
Genus	g__Tener-01	1			
Genus	g__CAG-448	236			
Genus	g__CAG-449	3			
Genus	g__Kineothrix	4			
Genus	g__Faecivicinus	4			
Genus	g__Ruminococcus_B	1			
Genus	g__HGM11501	12			
Genus	g__RUG14219	3			
Genus	g__Ruminococcus_C	3			
Genus	g__Faecousia	1353			
Genus	g__Ruminococcus_E	158			
Genus	g__RGIG7444	2			
Genus	g__Ruminococcus_F	1			
Genus	g__CAG-1782	2			
Genus	g__HGM11507	5			
Genus	g__UBA1394	8			
Genus	g__Evtepia	4			
Genus	g__RGIG3135	5			
Genus	g__VSOB01	2			
Genus	g__UBA1081	34			
Genus	g__RGIG990	3			
Genus	g__Carnobacterium_A	3			
Genus	g__RGIG7179	8			
Genus	g__Scatenecus	1			
Genus	g__RUG754	3			
Genus	g__RGIG995	28			
Genus	g__RUG440	8			
Genus	g__RUG756	1			
Genus	g__Fimousia	2			
Genus	g__RUG12999	4			
Genus	g__RGIG4790	3			
Genus	g__Caccovivens	38			
Genus	g__RUG11257	2			
Genus	g__SFWF01	103			
Genus	g__RGIG8715	1			
Genus	g__RGIG4130	2			
Genus	g__HGM12587	20			
Genus	g__UBA9506	107			
Genus	g__RGIG4131	9			
Genus	g__SFLA01	17			
Genus	g__SIG701	41			
Genus	g__Arthrobacter_B	8			
Genus	g__SIG704	1			
Genus	g__SIG471	1			
Genus	g__SIG430	6			
Genus	g__Choladocola	4			
Genus	g__UMGS731	12			
Genus	g__JAAZZIT01	2			
Genus	g__HGM05376	9			
Genus	g__SIG435	9			
Genus	g__WREN01	1			
Genus	g__SIG437	12			
Genus	g__Pediococcus	1			
Genus	g__UMGS1840	8			
Genus	g__SIG438	15			
Genus	g__Helicobacter_B	1			
Genus	g__UMGS1883	112			
Genus	g__Alectryocaccobium	6			
Genus	g__RGIG5755	10			
Genus	g__SFRY01	1			
Genus	g__Spyradosoma	9			
Genus	g__RGIG2560	2			
Genus	g__UBA3663	62			
Genus	g__UMGS1532	19			
Genus	g__CAJOQB01	3			
Genus	g__Treponema_D	176			
Genus	g__Pelobium	1			
Genus	g__MGBC108787	1			
Genus	g__Treponema_F	16			
Genus	g__RGIG6291	3			
Genus	g__Copromorpha	24			
Genus	g__UMGS1264	1			
Genus	g__UMGS1224	1			
Genus	g__Avidehalobacter	6			
Genus	g__UMGS1225	2			
Genus	g__F23-D06	19			
Genus	g__Quinella	3			
Genus	g__CAG-877	33			
Genus	g__AC2028	12			
Genus	g__Limosilactobacillus	2			
Genus	g__RGIG3872	3			
Genus	g__UBA1740	715			
Genus	g__UBA1783	4			
Genus	g__UBA1784	90			
Genus	g__Denitrobacterium	1			
Genus	g__RGIG3525	1			
Genus	g__UBA1786	18			
Genus	g__Ornithospirochaeta	3			
Genus	g__RGIG3566	13			
Genus	g__RGIG3528	11			
Genus	g__UBA629	1			
Genus	g__RGIG7213	13			
Genus	g__UBA1709	1			
Genus	g__UBA1436	57			
Genus	g__UMGS75	3			
Genus	g__Bacteroides	10			
Genus	g__Ruminococcus	50			
Genus	g__Parachristensenella	3			
Genus	g__CAG-170	9			
Genus	g__MGBC113645	2			
Genus	g__RUG521	4			
Genus	g__RUG563	27			
Genus	g__CAG-177	184			
Genus	g__Phocaeicola_A	22			
Genus	g__RGIG1993	11			
Genus	g__RGIG1911	4			
Genus	g__SFTH01	5			
Genus	g__RGIG1995	31			
Genus	g__RGIG1913	3			
Genus	g__RGIG1681	22			
Genus	g__RGIG8523	5			
Genus	g__RGIG1916	2			
Genus	g__Alloscillospira	4			
Genus	g__UBA11471	1			
Genus	g__Traorella	8			
Genus	g__RGIG1959	31			
Genus	g__RGIG1918	7			
Genus	g__UBA11475	8			
Genus	g__SIG510	9			
Genus	g__SIG554	1			
Genus	g__Clavibacter	2			
Genus	g__SIG200	3			
Genus	g__Fimimonas	11			
Genus	g__SIG598	15			
Genus	g__SIG204	5			
Genus	g__SIG519	1			
Genus	g__RGIG2951	3			
Genus	g__SIG205	1			
Genus	g__SIG208	2			
Genus	g__UBA7702	4			
Genus	g__Fusicatenibacter	1			
Genus	g__Enteromonas	4			
Genus	g__UMGS1613	16			
Genus	g__UMGS1696	72			
Genus	g__Gallipaludibacter	3			
Genus	g__Dysosmobacter	29			
Genus	g__RGIG6919	4			
Genus	g__Pelethenecus	6			
Genus	g__UBA3789	11			
Genus	g__UMGS1071	2			
Genus	g__RGIG6374	2			
Genus	g__RGIG6375	9			
Genus	g__UMGS1387	43			
Genus	g__UBA7477	7			
Genus	g__RGIG5299	4			
Genus	g__UMGS1307	2			
Genus	g__E4-60	10			
Genus	g__HGM13006	5			
Genus	g__RGIG2066	11			
Genus	g__DUWA01	1			
Genus	g__Fibrobacter	37			
Genus	g__Shewanella	1			
Genus	g__Caccoplasma	15			
Genus	g__Comamonas	2			
Genus	g__RGIG3994	18			
Genus	g__Coprosoma	4			
Genus	g__Mycoplasma_L	2			
Genus	g__RUG14186	1			
Genus	g__DTU064	5			
Genus	g__Spyradenecus	11			
Genus	g__RGIG7332	22			
Genus	g__Agathobacter	80			
Genus	g__UBA1240	4			
Genus	g__UBA10281	25			
Genus	g__MGBC120314	4			
Genus	g__RGIG7378	5			
Genus	g__UBA1203	1			
Genus	g__UMGS2037	2			
Genus	g__UBA1246	1			
Genus	g__UBA1205	2			
Genus	g__UBA1206	3			
