Rank	Taxon	Counts			
Species	s__Nanosyncoccus sp017404515	1			
Species	s__RGIG3701 sp017408405	1			
Species	s__SFLA01 sp017646185	1			
Species	s__Onthomorpha sp017632095	1			
Species	s__RF16 sp017384225	1			
Species	s__UBA8612 sp017625095	1			
Species	s__RGIG3513 sp017408985	1			
Species	s__UBA3855 sp017521325	1			
Species	s__Barnesiella_A sp017522135	1			
Species	s__UBA737 sp017416285	1			
Species	s__HGM12789 sp015066215	1			
Species	s__Ruminococcus sp017516465	1			
Species	s__HGM11416 sp015055965	1			
Species	s__Alistipes sp017399485	1			
Species	s__Tidjanibacter sp017936005	2			
Species	s__Alistipes sp015059845	1			
Species	s__Faecousia sp015067725	1			
Species	s__Alistipes sp015059805	1			
Species	s__UBA1755 sp018066045	1			
Species	s__RGIG4079 sp017399915	1			
Species	s__SIG455 sp015068565	1			
Species	s__Faecousia sp015067495	1			
Species	s__RGIG1932 sp017414505	1			
Species	s__Campylobacter sp017646085	1			
Species	s__RUG563 sp017517465	1			
Species	s__RGIG4079 sp904502025	1			
Species	s__UBA1203 sp017500825	1			
Species	s__Faecousia sp017936205	1			
Species	s__HGM04593 sp017557045	1			
Species	s__Alistipes sp017381935	1			
Species	s__CAZU01 sp017501665	1			
Species	s__RF16 sp018066175	1			
Species	s__Nanosyncoccus sp017652765	1			
Species	s__UBA5905 sp017435305	1			
Species	s__UBA940 sp015060105	1			
Species	s__UBA1189 sp017517925	1			
Species	s__Bulleidia sp900320455	1			
Species	s__GCA-900199385 sp017433405	1			
Species	s__UBA737 sp017439585	1			
Species	s__UMGS1279 sp017436225	1			
Species	s__CAG-390 sp017387685	1			
Species	s__Alistipes sp017632115	1			
Species	s__RUG410 sp017479785	1			
Species	s__Peribacillus psychrosaccharolyticus	1			
Species	s__Tidjanibacter sp017521965	1			
Species	s__Avispirillum sp017513325	1			
Species	s__RGIG4284 sp017464645	1			
Species	s__UBA1067 sp017418445	1			
Species	s__RGIG4576 sp015061055	1			
Species	s__RUG11194 sp018064845	1			
Species	s__Butyrivibrio proteoclasticus_B	1			
Species	s__Enterousia sp905234465	1			
Species	s__UBA1757 sp017380635	1			
Species	s__Nanosyncoccus sp017652105	1			
Species	s__Prevotella sp900314655	1			
Species	s__SIG575 sp017935325	1			
Species	s__Alistipes sp017408825	1			
Species	s__Ornithomonoglobus sp017415105	1			
Species	s__Fimenecus sp017624735	1			
Species	s__Faecalimonas sp017410145	1			
Species	s__Prevotella sp900315775	1			
Species	s__RGIG5299 sp017504945	1			
Species	s__Enterousia sp017471805	1			
Species	s__HGM12713 sp015065365	1			
Species	s__RUG12461 sp902779355	1			
Species	s__UBA1711 sp900314925	1			
Species	s__Faecousia sp015068495	1			
Species	s__RGIG3102 sp017400025	1			
Species	s__RGIG1681 sp017507215	1			
Species	s__Ruminiclostridium_E sp015067025	1			
Species	s__Coprenecus sp017546125	1			
Species	s__UMGS1491 sp017414725	1			
Species	s__HGM04593 sp017536325	1			
Species	s__SIG607 sp017474125	1			
Species	s__UBA1784 sp015061865	1			
Species	s__UBA1740 sp015064745	1			
Species	s__UBA1711 sp002373995	1			
Species	s__SIG672 sp015064255	1			
Species	s__DTU089 sp017631355	1			
Species	s__UBA7173 sp017629835	1			
Species	s__51-20 sp017465405	1			
Species	s__Allisonella histaminiformans	1			
Species	s__UBA738 sp018065965	1			
Species	s__Limiplasma sp015056145	1			
Species	s__Flavobacterium macacae	1			
Species	s__RGIG8367 sp904502045	1			
Species	s__UBA3766 sp015056945	1			
Species	s__UBA1259 sp015055725	1			
Species	s__UBA5905 sp015066065	1			
Species	s__Akkermansia sp904501955	1			
Species	s__Akkermansia sp904501915	1			
Species	s__RUG420 sp017433225	1			
Species	s__UBA1737 sp017937305	1			
Species	s__CAG-177 sp017502085	1			
Species	s__Phocaeicola sp015060705	1			
Species	s__RF16 sp017394705	1			
Species	s__Limivicinus sp017398685	1			
Species	s__Enterousia sp904502095	1			
Species	s__DTU089 sp015066325	1			
Species	s__Alistipes sp015060165	1			
Species	s__RGIG4079 sp017505535	1			
Species	s__Alistipes sp017501025	1			
Species	s__Avispirillum sp015063955	1			
Species	s__UBA7867 sp017622115	1			
Species	s__CAG-127 sp017463225	1			
Species	s__UBA1254 sp902767055	1			
Species	s__Rhodococcus sp012844225	1			
Species	s__HGM05376 sp017522255	1			
Species	s__UBA1259 sp017414525	1			
Species	s__RGIG5472 sp017501355	1			
Species	s__RGIG4140 sp017555325	1			
Species	s__UMGS1668 sp018110905	1			
Species	s__Cryptobacteroides sp017626355	1			
Species	s__Alistipes sp017937765	1			
Species	s__Enterousia sp017451625	1			
Species	s__Alistipes sp017934845	1			
Species	s__SIG483 sp015068035	1			
Species	s__Treponema_D sp002373325	1			
Species	s__RGIG1995 sp017395725	1			
Species	s__Ligilactobacillus ruminis	1			
Species	s__Limimorpha sp018064605	1			
Species	s__UBA10677 sp017623435	1			
Species	s__Scatosoma sp017625565	1			
Species	s__Bacteroides sp017630035	1			
Species	s__Enterousia sp015062545	1			
Species	s__RGIG4079 sp017390185	1			
Species	s__Alistipes sp017631275	1			
Species	s__Paraprevotella sp017630975	1			
Species	s__UBA3855 sp015066865	1			
Species	s__Alistipes sp017624955	1			
Species	s__UBA1067 sp017631385	1			
Species	s__UBA4717 sp017411885	1			
Species	s__RUG695 sp902766935	1			
Species	s__Catenibacterium sp000437715	1			
Species	s__Ruminococcus_E sp017473555	1			
Species	s__Alistipes sp900769445	1			
Species	s__UBA1756 sp017506175	1			
Species	s__HGM13010 sp017415945	1			
Species	s__Alistipes sp900769405	1			
Species	s__UBA6345 sp017503005	1			
Species	s__Alistipes sp017532885	1			
Species	s__RGIG3102 sp017442085	1			
Species	s__Prevotella sp905236755	1			
Species	s__Alistipes sp017502025	2			
Species	s__Alistipes sp017465605	1			
Species	s__Bulleidia sp015058875	1			
Species	s__UMGS1484 sp017474205	1			
Species	s__Alistipes sp015059965	1			
Species	s__Alistipes sp015059925	1			
Species	s__HGM04593 sp017646665	1			
Species	s__Parabacteroides sp017560165	1			
Species	s__UBA6857 sp015066045	1			
Species	s__RGIG3513 sp017408485	1			
Species	s__UBA11512 sp017465885	1			
Species	s__Alistipes sp017621455	1			
Species	s__UBA1752 sp015065165	1			
Species	s__JAEDJH01 sp016296415	1			
Species	s__CAZU01 sp017452885	1			
Species	s__Onthomorpha sp002358855	1			
Species	s__Ruminiclostridium_E sp017465545	1			
Species	s__Firm-07 sp017462615	1			
Species	s__UBA1259 sp904501795	1			
Species	s__Enterocola sp017387515	1			
Species	s__Cryptobacteroides sp017502125	1			
Species	s__CAG-485 sp015061085	1			
Species	s__RGIG3102 sp017436575	1			
Species	s__Akkermansia sp015062055	1			
Species	s__Treponema_D bryantii_D	1			
Species	s__Akkermansia sp015062015	1			
Species	s__Tidjanibacter sp017390585	1			
Species	s__Flexilinea sp902791025	1			
Species	s__CAG-877 sp017416535	1			
Species	s__Prevotella sp017423565	1			
Species	s__Akkermansia sp017477935	1			
Species	s__Firm-07 sp017396225	1			
Species	s__UBA940 sp017464745	1			
Species	s__Merdousia sp015061955	1			
Species	s__UBA2868 sp017432845	1			
Species	s__Limivicinus sp902802045	1			
Species	s__Ruminiclostridium_E sp017942025	1			
Species	s__Caccovivens sp017621525	1			
Species	s__CAJGCS01 sp904501965	1			
Species	s__Treponema_F sp017623685	1			
Species	s__GCA-900199385 sp017404985	1			
Species	s__Akkermansia sp017521405	1			
Species	s__UBA6857 sp017522205	1			
Species	s__UBA1217 sp002371315	1			
Species	s__SIG200 sp017441065	1			
Species	s__HGM04593 sp017647975	1			
Species	s__SIG79 sp017456495	1			
Species	s__UBA11512 sp017935195	1			
Species	s__HGM04593 sp017555865	1			
Species	s__Paratractidigestivibacter faecalis	1			
Species	s__SIG79 sp015061845	1			
Species	s__UBA4717 sp015064205	1			
Species	s__UBA1254 sp017963715	1			
Species	s__UBA1259 sp017502525	1			
Species	s__UBA1711 sp017522105	1			
Species	s__RUG369 sp017937485	1			
Species	s__Spyradenecus sp017558005	1			
Species	s__UMGS1279 sp017382915	1			
Species	s__Tidjanibacter sp015059945	1			
Species	s__SIG480 sp017532355	1			
Species	s__Akkermansia sp017555025	1			
Species	s__SIG440 sp017546165	1			
Species	s__Bulleidia sp003446295	1			
Species	s__QAMX01 sp015067825	1			
Species	s__UBA11475 sp017646555	1			
Species	s__UBA1189 sp017555875	1			
Species	s__CAG-267 sp015062535	1			
Species	s__Alistipes sp017505725	1			
Species	s__Alistipes sp017474235	1			
Species	s__Ornithospirochaeta sp017629575	1			
Species	s__RGIG1828 sp015068985	1			
Species	s__RF16 sp017556705	1			
Species	s__UBA1259 sp015055805	1			
Species	s__RUG521 sp017431405	1			
Species	s__UBA1752 sp017563195	1			
Species	s__UBA1786 sp900771425	1			
Species	s__AM51-8 sp017634455	1			
Species	s__Pseudobutyrivibrio ruminis_A	1			
Species	s__Ruminococcus_E sp017395925	1			
Species	s__Coprenecus sp017504965	1			
Species	s__HGM04593 sp017516885	1			
Species	s__RGIG7114 sp017558545	1			
Species	s__UBA4363 sp017446585	1			
Species	s__DTU089 sp017550105	1			
Species	s__Faecousia sp017473455	1			
Species	s__Alistipes sp017531305	1			
Species	s__Sodaliphilus sp902762385	1			
Species	s__Alistipes sp017937805	1			
Species	s__UBA1189 sp015060865	1			
Species	s__UBA4372 sp017466325	1			
Species	s__UBA9786 sp902785705	1			
Species	s__RGIG4729 sp017481035	1			
Species	s__RGIG8523 sp017625675	1			
Species	s__UBA4372 sp002395775	1			
Species	s__Enterousia sp017436325	2			
Species	s__HGM04593 sp017467015	1			
Species	s__Prevotella sp002353585	1			
Species	s__Sodaliphilus sp900319525	1			
Species	s__RUG410 sp900313155	1			
Species	s__Firm-16 sp902794115	1			
Species	s__HGM04593 sp017442185	1			
Species	s__Akkermansia sp015061985	1			
Species	s__UBA11524 sp017397765	1			
Species	s__CAG-791 sp017449745	1			
Species	s__Phocaeicola_A sp017416805	1			
Species	s__Alloprevotella sp017628555	1			
Species	s__Alistipes sp017380515	1			
Species	s__Alistipes sp900769525	1			
Species	s__UMGS1668 sp017399765	1			
Species	s__Alistipes sp017503575	1			
Species	s__RGIG6353 sp015064635	1			
Species	s__HGM05376 sp017560705	1			
Species	s__UBA737 sp017437005	1			
Species	s__Firm-04 sp016296505	1			
Species	s__RGIG1995 sp017473865	1			
Species	s__Fimenecus sp904501895	1			
Species	s__UBA737 sp017622555	1			
Species	s__Cryptobacteroides sp017506825	1			
Species	s__UBA1179 sp900318995	1			
Species	s__Cryptobacteroides sp017549145	1			
Species	s__RGIG1896 sp017473335	1			
Species	s__UBA1259 sp900771345	1			
Species	s__CAG-448 sp015065285	1			
Species	s__Limimorpha sp015061315	1			
Species	s__Limivicinus sp017444665	1			
Species	s__RGIG426 sp017414965	1			
Species	s__UBA1081 sp017549285	1			
Species	s__UBA1067 sp904502135	1			
Species	s__V9D3004 sp015057375	1			
Species	s__Spyradenecus sp017531445	1			
Species	s__Alistipes sp015059735	1			
Species	s__CAG-95 sp017411305	1			
Species	s__UBA8612 sp017416765	1			
Species	s__UBA1067 sp017403825	1			
Species	s__RGIG5612 sp017652745	1			
Species	s__Coprenecus sp900769885	1			
Species	s__Alistipes sp900770585	2			
Species	s__SIG598 sp015065795	1			
Species	s__SIG291 sp015057605	1			
Species	s__UBA1723 sp002371265	1			
Species	s__Scatosoma sp017504065	1			
Species	s__Clostridium_P perfringens	1			
Species	s__Cryptobacteroides sp017461285	1			
Species	s__UBA4372 sp018064685	1			
Species	s__Ga6A1 sp900102385	1			
Species	s__Enterousia sp017936185	1			
Species	s__UBA1740 sp017503105	1			
Species	s__Nanosyncoccus sp002363125	1			
Species	s__Paraprevotella sp017937925	1			
Species	s__RGIG3009 sp017503785	1			
Species	s__UBA7185 sp017383785	1			
Species	s__Caccoplasma sp017521245	1			
Species	s__UBA1740 sp017621415	1			
Species	s__Nanosyncoccus sp017512045	1			
Species	s__SIG79 sp017456805	1			
Species	s__RUG11788 sp017436345	1			
Species	s__Tidjanibacter sp017631375	1			
Species	s__UBA11524 sp017513475	1			
Species	s__Pradoshia sp001685035	1			
Species	s__UMGS1696 sp017398585	1			
Species	s__Alistipes sp017504265	1			
Species	s__UBA5489 sp017408305	1			
Species	s__UBA737 sp017624675	2			
Species	s__Firm-07 sp017508425	1			
Species	s__Saccharofermentans sp016292215	1			
Species	s__Faecousia sp017630495	1			
Species	s__UBA1740 sp017456985	1			
Species	s__Cryptobacteroides sp017415715	1			
Species	s__HGM05376 sp017646685	1			
Species	s__RUG563 sp017395685	1			
Species	s__Alistipes sp017629145	1			
Species	s__UBA1731 sp015061765	1			
Species	s__Saccharofermentans sp902801755	1			
Species	s__Limimorpha sp017395365	1			
Species	s__RUG521 sp017405675	1			
Species	s__Enterococcus_B faecium	1			
Species	s__UBA4372 sp902778625	1			
Species	s__Cryptobacteroides sp017437125	1			
Species	s__UBA2834 sp017418275	1			
Species	s__Enterousia sp017520675	1			
Species	s__Faecousia sp015068305	1			
Species	s__CAG-177 sp015065965	1			
Species	s__Scatosoma sp017623605	1			
Species	s__Nanosyncoccus sp017510705	1			
Species	s__Treponema_D sp900767955	1			
Species	s__SIG603 sp017935165	1			
Species	s__UBA4372 sp900770805	1			
Species	s__UBA1179 sp018065615	1			
Species	s__UBA1740 sp017463765	1			
Species	s__Copromorpha sp017416795	1			
Species	s__UBA1740 sp017556685	1			
Species	s__RUG440 sp017652285	1			
Species	s__Enterousia sp017546085	1			
Species	s__Akkermansia sp017504805	1			
Species	s__UMGS172 sp904501685	1			
Species	s__HGM04593 sp017522785	1			
Species	s__UBA3263 sp015061005	1			
Species	s__Limiplasma sp017937655	1			
Species	s__UBA5905 sp017440755	1			
Species	s__SFWF01 sp017936045	1			
Species	s__CAG-877 sp016293205	1			
Species	s__Barnesiella_A sp904502265	1			
Species	s__CAG-390 sp017415485	1			
Species	s__RGIG3077 sp017435565	1			
Species	s__SIG220 sp015059105	1			
Species	s__UBA1711 sp018064245	1			
Species	s__UBA4293 sp018065125	1			
Species	s__SFWF01 sp017630985	1			
Species	s__RGIG8709 sp017626595	1			
Species	s__UBA1723 sp002392915	1			
Species	s__Alistipes sp015060015	1			
Species	s__Ruminococcus_E sp900316815	1			
Species	s__CAG-177 sp017938985	1			
Species	s__SFWF01 sp017623235	1			
Species	s__Alistipes sp017517705	1			
Species	s__Eubacterium_G sp017406925	1			
Species	s__Alistipes sp017421945	1			
Species	s__Faecalimonas sp017416155	1			
Species	s__UBA1752 sp017397605	1			
Species	s__Cryptobacteroides sp017626555	1			
Species	s__UBA6857 sp017425745	1			
Species	s__CAG-448 sp015064015	1			
Species	s__RGIG2000 sp017466455	1			
Species	s__UBA1259 sp017621955	1			
Species	s__RGIG423 sp017437205	1			
Species	s__SIG693 sp017466495	1			
Species	s__HGM12713 sp015063335	1			
Species	s__UBA1227 sp018064455	1			
Species	s__UBA11524 sp015056085	1			
Species	s__UBA8612 sp017521365	1			
Species	s__Ruminococcus_E sp017465505	1			
Species	s__RGIG8700 sp017622395	1			
Species	s__Mailhella sp017408905	1			
Species	s__SIG607 sp015065605	1			
Species	s__Enterocola sp017508305	1			
Species	s__Prevotella sp002353975	1			
Species	s__CAG-632 sp017461045	1			
Species	s__Pseudobutyrivibrio ruminis	1			
Species	s__RGIG1666 sp017399695	1			
Species	s__CAG-83 sp017415775	1			
Species	s__Tidjanibacter sp017396085	1			
Species	s__SIG440 sp017503225	1			
Species	s__Parabacteroides distasonis_B	1			
Species	s__UBA5905 sp904501705	1			
Species	s__UBA1189 sp017622495	1			
Species	s__Egerieisoma sp017622825	1			
Species	s__CAZU01 sp015062305	1			
Species	s__Limimorpha sp017630195	1			
Species	s__Bact-19 sp902776565	1			
Species	s__Scatosoma sp015055615	1			
Species	s__Saccharofermentans sp902776845	1			
Species	s__UBA4636 sp017507595	1			
Species	s__RUG12395 sp017382555	1			
Species	s__Arthrobacter_B sp002929435	1			
Species	s__RGIG9934 sp017646325	1			
Species	s__Alistipes sp017436185	1			
Species	s__Akkermansia sp017398765	1			
Species	s__Eubacterium_I sp015057865	1			
Species	s__UBA1715 sp002317135	1			
Species	s__RUG191 sp905234245	1			
Species	s__RF16 sp017480285	1			
Species	s__Paenibacillus sp001955855	1			
Species	s__RGIG4140 sp017467335	1			
Species	s__UBA1731 sp017936245	1			
Species	s__Cryptobacteroides sp017399865	1			
Species	s__Alistipes sp017391185	1			
Species	s__Limimorpha sp018065885	1			
Species	s__UBA2922 sp904501855	1			
Species	s__Avispirillum sp017416205	1			
Species	s__SIG622 sp017560085	1			
Species	s__Egerieousia sp018065035	1			
Species	s__Enterousia sp902802115	1			
Species	s__Treponema_D sp002309195	1			
Species	s__HGM12713 sp015064065	1			
Species	s__RGIG9608 sp017652785	1			
Species	s__UBA1067 sp017628025	1			
Species	s__RF16 sp017507715	1			
Species	s__Pediococcus pentosaceus	1			
Species	s__Homoserinimonas hongtaonis	1			
Species	s__UBA4293 sp002395835	1			
Species	s__UBA1784 sp017508385	1			
Species	s__Treponema_F sp017936345	1			
Species	s__CAG-194 sp017623815	1			
Species	s__HGM12619 sp904502105	1			
Species	s__Butyrivibrio fibrisolvens_C	1			
Species	s__SIG653 sp015064625	1			
Species	s__RGIG7378 sp017501105	1			
Species	s__UMGS1387 sp015064895	1			
Species	s__CAG-267 sp017465945	1			
Species	s__RGIG4608 sp017628875	1			
Species	s__HGM04593 sp017547585	1			
Species	s__Prevotella sp900107705	1			
Species	s__Bact-11 sp018064445	1			
Species	s__UMGS755 sp015068855	1			
Species	s__CAG-127 sp017625815	1			
Species	s__RUG306 sp902772635	1			
Species	s__Sphingobacterium bovisgrunnientis	1			
Species	s__RUG099 sp900315485	1			
Species	s__UBA1066 sp902776305	1			
Species	s__Prevotella sp015060535	1			
Species	s__RUG572 sp017563185	1			
Species	s__UBA1067 sp017507065	1			
Species	s__UBA636 sp017515475	1			
Species	s__UBA1752 sp017466805	1			
Species	s__Prevotella sp900318625	1			
Species	s__Succinivibrio sp900316175	1			
Species	s__RGIG5327 sp017629515	1			
Species	s__RGIG7213 sp017556845	1			
Species	s__RUG369 sp017937685	2			
Species	s__UBA4345 sp018064855	1			
Species	s__RGIG4097 sp017500745	1			
Species	s__COE1 sp017436865	1			
Species	s__UBA1436 sp015062115	1			
Species	s__Firm-07 sp015064185	1			
Species	s__UBA1723 sp902782665	1			
Species	s__UBA1181 sp015061185	1			
Species	s__UBA1259 sp900769565	1			
Species	s__CAG-115 sp015067375	1			
Species	s__Nanosyncoccus sp017432225	1			
Species	s__Enterousia sp017450905	1			
Species	s__UBA1067 sp002351765	1			
Species	s__CAG-83 sp017937195	1			
Species	s__Akkermansia sp017471985	1			
Species	s__UBA1784 sp015061525	1			
Species	s__Alistipes sp017630245	1			
Species	s__Firm-07 sp017502975	1			
Species	s__RGIG2134 sp017409065	1			
Species	s__Cryptobacteroides sp017471965	1			
Species	s__UBA1711 sp900771365	1			
Species	s__Phocaeicola sp017416735	1			
Species	s__Bacteroides massiliensis_B	1			
Species	s__Bacteroides massiliensis_C	1			
Species	s__Firm-04 sp016291435	1			
Species	s__Acinetobacter equi	1			
Species	s__UBA1715 sp017516865	1			
Species	s__RF16 sp015061165	1			
Species	s__UMGS755 sp017507525	1			
Species	s__Cryptobacteroides sp017474265	1			
Species	s__RGIG995 sp017623475	1			
Species	s__RGIG4140 sp017647405	1			
Species	s__UBA1715 sp017642535	1			
Species	s__Prevotella sp017410365	1			
Species	s__HGM05398 sp900767385	1			
Species	s__RGIG1476 sp017632945	1			
Species	s__CAG-127 sp015057555	1			
Species	s__Alistipes sp904502075	1			
Species	s__UBA1738 sp015068545	1			
Species	s__Pseudobutyrivibrio sp017471675	1			
Species	s__RGIG1893 sp017397075	1			
Species	s__RUG099 sp017433945	1			
Species	s__Nanosyncoccus sp017404955	1			
Species	s__UMGS1279 sp015065925	1			
